Info 0    [22:6:56.3] Starting TS Server
Info 1    [22:6:56.4] Version: 3.9.6
Info 2    [22:6:56.4] Arguments: /usr/local/Cellar/node/12.6.0/bin/node /Users/oyvind/.emacs.doom.d/.local/etc/lsp/npm/typescript/bin/tsserver --logFile /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/tn/mlnthww12xs9px8wz5ly4nz80000gn/T/1ebce2af71feddbbd58c8575fec2eb1c/tscancellation*
Info 3    [22:6:56.4] Platform: darwin NodeVersion: 12 CaseSensitive: false
Info 4    [22:6:56.15] Search path: /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/src/js
Info 5    [22:6:56.16] For info: /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/src/js/Dashboard.js :: No config files found.
Info 6    [22:6:56.22] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [22:6:57.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1562ms
Info 8    [22:6:57.584] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [22:6:57.584] 	Files (108)

Info 10   [22:6:57.584] -----------------------------------------------
Info 11   [22:6:57.984] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [22:6:58.43] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 59ms
Info 13   [22:6:58.43] Different program with same set of files:: oldProgram.structureIsReused:: 1
Info 14   [22:7:0.231] Before ensureProjectForOpenFiles:
Info 15   [22:7:0.232] After ensureProjectForOpenFiles:
Info 16   [22:7:0.233] got projects updated in background, updating diagnostics for /Users/oyvind/Documents/programming/projects/web/workout_tracker/workout_tracker_frontend/src/js/Dashboard.js
Info 17   [22:7:0.612] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [22:7:0.622] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 10ms
Info 19   [22:7:0.622] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 20   [22:7:3.10] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [22:7:3.27] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 16ms
Info 22   [22:7:3.28] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 23   [22:7:32.159] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 24   [22:7:32.177] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 18ms
Info 25   [22:7:32.177] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 26   [22:7:35.846] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [22:7:35.859] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 13ms
Info 28   [22:7:35.859] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 29   [22:7:36.680] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [22:7:36.695] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 14ms
Info 31   [22:7:36.695] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 32   [22:7:37.511] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [22:7:37.523] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 12ms
Info 34   [22:7:37.523] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 35   [22:7:37.755] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [22:7:37.763] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 8ms
Info 37   [22:7:37.763] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 38   [22:7:37.765] getCompletionData: Get current token: 0
Info 39   [22:7:37.765] getCompletionData: Is inside comment: 0
Info 40   [22:7:37.765] getCompletionData: Get previous token 1: 0
Info 41   [22:7:37.765] getCompletionData: Get previous token 2: 0
Info 42   [22:7:37.765] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 43   [22:7:37.769] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 44   [22:7:37.852] forEachExternalModuleToImportFrom: filtered out 60 modules by package.json contents
Info 45   [22:7:37.852] getSymbolsFromOtherSourceFileExports: 83
Info 46   [22:7:37.854] getCompletionData: Semantic work: 89
Info 47   [22:7:37.864] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9
Info 48   [22:7:37.871] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [22:7:37.880] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 9ms
Info 50   [22:7:37.880] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 51   [22:7:37.880] getCompletionData: Get current token: 0
Info 52   [22:7:37.880] getCompletionData: Is inside comment: 0
Info 53   [22:7:37.881] getCompletionData: Get previous token 1: 0
Info 54   [22:7:37.881] getCompletionData: Get previous token 2: 0
Info 55   [22:7:37.881] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 56   [22:7:37.883] getSymbolsFromOtherSourceFileExports: Using cached list
Info 57   [22:7:37.904] getCompletionData: Semantic work: 23
Info 58   [22:7:37.909] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 59   [22:7:38.828] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 60   [22:7:38.844] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 16ms
Info 61   [22:7:38.844] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 62   [22:7:39.126] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [22:7:39.140] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 13ms
Info 64   [22:7:39.140] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 65   [22:7:39.557] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 66   [22:7:39.564] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 7ms
Info 67   [22:7:39.564] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 68   [22:7:39.564] getCompletionData: Get current token: 0
Info 69   [22:7:39.565] getCompletionData: Is inside comment: 0
Info 70   [22:7:39.565] getCompletionData: Get previous token 1: 0
Info 71   [22:7:39.565] getCompletionData: Get previous token 2: 0
Info 72   [22:7:39.565] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 73   [22:7:39.567] getSymbolsFromOtherSourceFileExports: Using cached list
Info 74   [22:7:39.582] getCompletionData: Semantic work: 17
Info 75   [22:7:39.588] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5
Info 76   [22:7:40.101] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 77   [22:7:40.111] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 10ms
Info 78   [22:7:40.111] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 79   [22:7:42.303] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 80   [22:7:42.322] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 19ms
Info 81   [22:7:42.322] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 82   [22:7:43.37] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 83   [22:7:43.48] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 10ms
Info 84   [22:7:43.48] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 85   [22:7:44.391] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 86   [22:7:44.401] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 10ms
Info 87   [22:7:44.401] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 88   [22:7:44.797] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 89   [22:7:44.808] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 11ms
Info 90   [22:7:44.808] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 91   [22:7:46.81] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 92   [22:7:46.92] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 11ms
Info 93   [22:7:46.92] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [22:7:46.751] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 95   [22:7:46.759] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 8ms
Info 96   [22:7:46.759] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [22:7:48.466] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 98   [22:7:48.477] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 11ms
Info 99   [22:7:48.477] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 100  [22:7:49.281] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 101  [22:7:49.292] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 11ms
Info 102  [22:7:49.293] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 103  [22:7:54.615] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 104  [22:7:54.625] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 10ms
Info 105  [22:7:54.625] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 106  [22:7:56.121] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 107  [22:7:56.131] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 10ms
Info 108  [22:7:56.131] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 109  [22:7:56.966] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 110  [22:7:56.977] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 10ms
Info 111  [22:7:56.977] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 112  [22:7:58.426] DirectoryWatcher:: Triggered with /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules/.cache/eslint-loader/a3dfb912788d3c7cf0cfa8001830005b1e5882e3.json.gz :: WatchInfo: /users/oyvind/documents/programming/projects/web/workout_tracker/workout_tracker_frontend/node_modules 1 undefined Project:  WatchType: node_modules for closed script infos in them
